 frequency                ir                       ii                       vr                       vi                      
 9.33254300796988367e+00  1.35202043788015813e-15  8.34247766832786110e-14  9.02386976221136727e-04  4.52155956118632628e-06 
 9.54992586021433176e+00  1.33315532007891036e-15  8.53679894841673020e-14  9.02386976969871135e-04  4.62688021313982886e-06 
 9.77237220955807828e+00  1.30344818055280753e-15  8.73564654493562171e-14  9.02386977753910635e-04  4.73465409822614668e-06 
 9.99999999999996980e+00  1.29545218953072694e-15  8.93912590289855694e-14  9.02386978574809540e-04  4.84493835958564356e-06 
 1.02329299228075108e+01  1.25936180971411571e-15  9.14734490783323650e-14  9.02386979434899317e-04  4.95779147139353518e-06 
 1.04712854805089641e+01  1.23008835105700709e-15  9.36041396519037905e-14  9.02386980334735078e-04  5.07327326986341933e-06 
 1.07151930523760317e+01  1.19881589464437832e-15  9.57844603210745689e-14  9.02386981277869538e-04  5.19144498497342857e-06 
 1.09647819614318163e+01  1.16626950067907909e-15  9.80155671269990246e-14  9.02386982264746784e-04  5.31236927293107776e-06 
 1.12201845430195988e+01  1.13998437425988364e-15  1.00298643162946235e-13  9.02386983298253398e-04  5.43611024939444942e-06 
 1.14815362149687914e+01  1.11058216659479236e-15  1.02634898838997827e-13  9.02386984380387780e-04  5.56273352346708771e-06 
 1.17489755493952579e+01  1.07781215593141799e-15  1.05025572993778718e-13  9.02386985514036510e-04  5.69230623248508673e-06 
 1.20226443461740899e+01  1.04953480802028043e-15  1.07471933053275798e-13  9.02386986700975946e-04  5.82489707761369930e-06 
 1.23026877081237753e+01  1.01503685014450729e-15  1.09975276142568667e-13  9.02386987943537555e-04  5.96057636027406424e-06 
 1.25892541179416302e+01  9.68490695626988973e-16  1.12536929615225233e-13  9.02386989244940985e-04  6.09941601941776954e-06 
 1.28824955169312965e+01  9.31214469684221724e-16  1.15158251741515977e-13  9.02386990607406680e-04  6.24148966966981924e-06 
 1.31825673855640257e+01  9.06013545437511780e-16  1.17840632290749106e-13  9.02386992034265312e-04  6.38687264036012163e-06 
 1.34896288259164887e+01  8.48205240853300291e-16  1.20585493537122179e-13  9.02386993528292436e-04  6.53564201546405229e-06 
 1.38038426460287997e+01  7.97871154995660747e-16  1.23394290842057257e-13  9.02386995092707700e-04  6.68787667447342179e-06 
 1.41253754462274923e+01  7.51961969254477669e-16  1.26268513448294289e-13  9.02386996731174840e-04  6.84365733421954907e-06 
 1.44543977074592220e+01  7.11243401414068943e-16  1.29209685326924065e-13  9.02386998446469413e-04  7.00306659167005596e-06 
 1.47910838816820203e+01  6.50866892933782415e-16  1.32219365918542038e-13  9.02387000242810267e-04  7.16618896772335554e-06 
 1.51356124843620261e+01  5.99570577648061986e-16  1.35299151033220835e-13  9.02387002123528070e-04  7.33311095202223807e-06 
 1.54881661891247564e+01  5.52475545780722888e-16  1.38450673485784968e-13  9.02387004093507805e-04  7.50392104881233294e-06 
 1.58489319246110760e+01  4.87735123556182204e-16  1.41675604472239368e-13  9.02387006155080940e-04  7.67870982386774419e-06 
 1.62181009735892374e+01  4.11048148643566869e-16  1.44975653834467186e-13  9.02387008314797789e-04  7.85756995251057474e-06 
 1.65958690743755426e+01  3.54371480076887124e-16  1.48352571013141859e-13  9.02387010576322091e-04  8.04059626874844271e-06 
 1.69824365246173770e+01  2.88485869307658627e-16  1.51808147059430355e-13  9.02387012944538824e-04  8.22788581555884643e-06 
 1.73780082874936852e+01  2.02210481432124611e-16  1.55344213682081112e-13  9.02387015423999905e-04  8.41953789633443133e-06 
 1.77827941003891574e+01  1.30022945535324119e-16  1.58962646000281114e-13  9.02387018020256448e-04  8.61565412754722445e-06 
 1.81970085860997628e+01  5.21636770237088321e-17  1.62665362226018537e-13  9.02387020738970591e-04  8.81633849261875085e-06 
 1.86208713666286023e+01 -1.77470343108721007e-17  1.66454326205181589e-13  9.02387023586359582e-04  9.02169739705569002e-06 
 1.90546071796323986e+01 -1.15650490486313151e-16  1.70331546358767330e-13  9.02387026567197381e-04  9.23183972486724057e-06 
 1.94984459975803794e+01 -1.98056631858789522e-16  1.74299078647496982e-13  9.02387029688478393e-04  9.44687689629718677e-06 
 1.99526231496887192e+01 -2.93872998852195977e-16  1.78359026677695051e-13  9.02387032957641111e-04  9.66692292689999801e-06 
 2.04173794466952145e+01 -4.08920401880064066e-16  1.82513543289476103e-13  9.02387036379903584e-04  9.89209448799362272e-06 
 2.08929613085403147e+01 -4.99437730755447618e-16  1.86764830874382116e-13  9.02387039963925552e-04  1.01225109685203019e-05 
 2.13796208950222386e+01 -5.97314081876576530e-16  1.91115144022360446e-13  9.02387043717145509e-04  1.03582945383475011e-05 
 2.18776162394954419e+01 -7.14950017591253761e-16  1.95566788674730874e-13  9.02387047646668883e-04  1.05995702130447449e-05 
 2.23872113856833082e+01 -8.38339001083682200e-16  2.00122125829954752e-13  9.02387051762154613e-04  1.08464659201684582e-05 
 2.29086765276776383e+01 -9.69351281101399342e-16  2.04783570273085584e-13  9.02387056070708127e-04  1.10991125670903485e-05 
 2.34422881531991258e+01 -1.09057186024885677e-15  2.09553594069779932e-13  9.02387060582543477e-04  1.13576441104065195e-05 
 2.39883291901948077e+01 -1.22551437314183387e-15  2.14434725931022705e-13  9.02387065307985736e-04  1.16221976269683636e-05 
