 time                   v(d)                   v(g)                  
 5.892536329916924e-06  8.450635840663984e-02  4.739142723060747e+00 
 5.893536329916924e-06  8.450300578895915e-02  4.739825142404374e+00 
 5.894536329916923e-06  8.449965458066569e-02  4.740507563969425e+00 
 5.895536329916923e-06  8.449630478094552e-02  4.741189987755271e+00 
 5.896536329916923e-06  8.449295638891216e-02  4.741872413761226e+00 
 5.897536329916922e-06  8.448960940364063e-02  4.742554841986554e+00 
 5.898536329916922e-06  8.448626382424203e-02  4.743237272430565e+00 
 5.899536329916922e-06  8.448291964996904e-02  4.743919705092706e+00 
 5.900536329916921e-06  8.447957687979725e-02  4.744602139972138e+00 
 5.901536329916921e-06  8.447623551292416e-02  4.745284577068257e+00 
 5.902536329916921e-06  8.447289554853299e-02  4.745967016380443e+00 
 5.903536329916920e-06  8.446955698562345e-02  4.746649457907881e+00 
 5.904536329916920e-06  8.446621982338900e-02  4.747331901649958e+00 
 5.905536329916920e-06  8.446288406100012e-02  4.748014347606039e+00 
 5.906536329916919e-06  8.445954969755548e-02  4.748696795775412e+00 
 5.907536329916919e-06  8.445621673219346e-02  4.749379246157405e+00 
 5.908536329916918e-06  8.445288516398736e-02  4.750061698751279e+00 
 5.909536329916918e-06  8.444955499212339e-02  4.750744153556418e+00 
 5.910536329916918e-06  8.444622621580335e-02  4.751426610572205e+00 
 5.911536329916917e-06  8.444289883398876e-02  4.752109069797798e+00 
 5.912536329916917e-06  8.443957284598590e-02  4.752791531232690e+00 
 5.913536329916917e-06  8.443624825086732e-02  4.753473994876142e+00 
 5.914536329916916e-06  8.443292504769806e-02  4.754156460727411e+00 
 5.915536329916916e-06  8.442960323572671e-02  4.754838928785930e+00 
 5.916536329916916e-06  8.442628281404307e-02  4.755521399050980e+00 
 5.917536329916915e-06  8.442296378179984e-02  4.756203871521898e+00 
 5.918536329916915e-06  8.441964613807564e-02  4.756886346197952e+00 
 5.919536329916915e-06  8.441632988208772e-02  4.757568823078542e+00 
 5.920536329916914e-06  8.441301501297357e-02  4.758251302162997e+00 
 5.921536329916914e-06  8.440970152980527e-02  4.758933783450574e+00 
 5.922536329916914e-06  8.440638943181140e-02  4.759616266940689e+00 
 5.923536329916913e-06  8.440307871807265e-02  4.760298752632605e+00 
 5.924536329916913e-06  8.439976938772274e-02  4.760981240525641e+00 
 5.925536329916913e-06  8.439646143998902e-02  4.761663730619215e+00 
 5.926536329916912e-06  8.439315487393401e-02  4.762346222912567e+00 
 5.927536329916912e-06  8.438984968877994e-02  4.763028717405105e+00 
 5.928536329916912e-06  8.438654588354111e-02  4.763711214096030e+00 
 5.929536329916911e-06  8.438324345754163e-02  4.764393712984847e+00 
 5.930536329916911e-06  8.437994240977729e-02  4.765076214070739e+00 
 5.931536329916910e-06  8.437664273948826e-02  4.765758717353126e+00 
 5.932536329916910e-06  8.437334444577350e-02  4.766441222831288e+00 
 5.933536329916910e-06  8.437004752784251e-02  4.767123730504623e+00 
 5.934536329916909e-06  8.436675198477646e-02  4.767806240372393e+00 
 5.935536329916909e-06  8.436345781572993e-02  4.768488752433924e+00 
 5.936536329916909e-06  8.436016501995136e-02  4.769171266688660e+00 
 5.937536329916908e-06  8.435687359648808e-02  4.769853783135825e+00 
 5.938536329916908e-06  8.435358354454706e-02  4.770536301774803e+00 
 5.939536329916908e-06  8.435029486323532e-02  4.771218822604887e+00 
 5.940536329916907e-06  8.434700755175485e-02  4.771901345625454e+00 
 5.941536329916907e-06  8.434372160926307e-02  4.772583870835846e+00 
 5.942536329916907e-06  8.434043703485908e-02  4.773266398235338e+00 
 5.943536329916906e-06  8.433715382779101e-02  4.773948927823356e+00 
 5.944536329916906e-06  8.433387198710587e-02  4.774631459599130e+00 
 5.945536329916906e-06  8.433059151209614e-02  4.775313993562128e+00 
 5.946536329916905e-06  8.432731240174063e-02  4.775996529711509e+00 
 5.947536329916905e-06  8.432403465543771e-02  4.776679068046850e+00 
 5.948536329916905e-06  8.432075827210352e-02  4.777361608567239e+00 
 5.949536329916904e-06  8.431748325105266e-02  4.778044151272174e+00 
 5.950536329916904e-06  8.431420959142302e-02  4.778726696160971e+00 
 5.951536329916903e-06  8.431093729234025e-02  4.779409243232926e+00 
 5.952536329916903e-06  8.430766635297925e-02  4.780091792487395e+00 
 5.953536329916903e-06  8.430439677249923e-02  4.780774343923712e+00 
 5.954536329916902e-06  8.430112855014080e-02  4.781456897541291e+00 
 5.955536329916902e-06  8.429786168493589e-02  4.782139453339346e+00 
 5.956536329916902e-06  8.429459617612813e-02  4.782822011317288e+00 
 5.957536329916901e-06  8.429133202292262e-02  4.783504571474499e+00 
 5.958536329916901e-06  8.428806922440396e-02  4.784187133810241e+00 
 5.959536329916901e-06  8.428480777979099e-02  4.784869698323906e+00 
 5.960536329916900e-06  8.428154768820445e-02  4.785552265014790e+00 
 5.961536329916900e-06  8.427828894891537e-02  4.786234833882332e+00 
 5.962536329916900e-06  8.427503156093799e-02  4.786917404925724e+00 
 5.963536329916899e-06  8.427177552358013e-02  4.787599978144446e+00 
 5.964536329916899e-06  8.426852083598911e-02  4.788282553537819e+00 
 5.965536329916899e-06  8.426526749725756e-02  4.788965131105107e+00 
 5.966536329916898e-06  8.426201550662554e-02  4.789647710845721e+00 
 5.967536329916898e-06  8.425876486333972e-02  4.790330292759079e+00 
 5.968536329916898e-06  8.425551556631554e-02  4.791012876844269e+00 
 5.969536329916897e-06  8.425226761504517e-02  4.791695463100953e+00 
 5.970536329916897e-06  8.424902100852243e-02  4.792378051528300e+00 
 5.971536329916897e-06  8.424577574592503e-02  4.793060642125654e+00 
 5.972536329916896e-06  8.424253182648916e-02  4.793743234892422e+00 
 5.973536329916896e-06  8.423928924939000e-02  4.794425829827953e+00 
 5.974536329916895e-06  8.423604801377509e-02  4.795108426931558e+00 
 5.975536329916895e-06  8.423280811877003e-02  4.795791026202537e+00 
 5.976536329916895e-06  8.422956956371164e-02  4.796473627640391e+00 
 5.977536329916894e-06  8.422633234761241e-02  4.797156231244302e+00 
