attempted_temperatures,calibration_status,cold_residual_C,completed_temperatures,failed_temperatures,fingerprints_status,frequency25_Hz,hbt_vce_max_V,hot_residual_C,image_id,maximum_abs_residual_C,not_completed_temperatures,run_id,seed,slope_Hz_C
4,passed,-1.332133809544331,4,0,passed,1560532.11414161,1.0757499393850698,-0.43666592475747734,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,1.332133809544331,0,t2f_mc100_20260921_01_s51079,51079,5018.343661733347
4,passed,-0.44613672687972894,4,0,passed,1459417.787165077,1.0551247755319366,-0.15876825309277365,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.44613672687972894,0,t2f_mc100_20260921_01_s51080,51080,4886.634835956001
4,passed,-1.1810597042904334,4,0,passed,1548314.176171057,1.0805194669162295,-0.370270467493782,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,1.1810597042904334,0,t2f_mc100_20260921_01_s51081,51081,5053.160768520133
4,passed,-1.1179500321881477,4,0,passed,1545083.707806902,1.0834389417604964,-0.40017015485425134,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,1.1179500321881477,0,t2f_mc100_20260921_01_s51082,51082,5049.158434002626
4,passed,-1.7146504208303668,4,0,passed,1591768.48761997,1.0942108498599508,-0.4713399434904062,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,1.7146504208303668,0,t2f_mc100_20260921_01_s51083,51083,5009.203159206413
4,passed,-0.8647102903222361,4,0,passed,1532570.572959171,1.0862280966570819,-0.31852833499240774,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.8647102903222361,0,t2f_mc100_20260921_01_s51084,51084,5147.755852613014
4,passed,-0.5878648802141981,4,0,passed,1474706.298415299,1.0657572025187365,-0.19317086917858717,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.5878648802141981,0,t2f_mc100_20260921_01_s51085,51085,4924.813141422346
4,passed,-1.495990664390277,4,0,passed,1568206.495158456,1.0926364064810659,-0.4543774256263191,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,1.495990664390277,0,t2f_mc100_20260921_01_s51086,51086,5006.7626756457585
4,passed,-0.5496772875753777,4,0,passed,1473563.533428525,1.0706645220863913,-0.14331063420389967,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.5496772875753777,0,t2f_mc100_20260921_01_s51087,51087,4965.640505895493
4,passed,-0.9698718798975818,4,0,passed,1549102.23232409,1.0751369118347534,-0.2842184388574225,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.9698718798975818,0,t2f_mc100_20260921_01_s51088,51088,4985.229035351292
4,passed,-1.9057827111277845,4,0,passed,1579405.96764725,1.0944804907706365,-0.5016907662008663,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,1.9057827111277845,0,t2f_mc100_20260921_01_s51089,51089,5004.20475047336
4,passed,-1.0540860918587782,4,0,passed,1511170.668026216,1.0786620770811526,-0.2978865365393375,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,1.0540860918587782,0,t2f_mc100_20260921_01_s51090,51090,4938.645781314985
4,passed,-0.5618611456799556,4,0,passed,1496835.689352708,1.0712938409290804,-0.23280531764693535,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.5618611456799556,0,t2f_mc100_20260921_01_s51091,51091,4931.421094794866
4,passed,-0.8254818529565142,4,0,passed,1529205.288259497,1.0759858656811834,-0.24450440959253683,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.8254818529565142,0,t2f_mc100_20260921_01_s51092,51092,5009.28412381636
4,passed,-1.2105299413747446,4,0,passed,1580966.897616287,1.0941402689475541,-0.3382099322730028,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,1.2105299413747446,0,t2f_mc100_20260921_01_s51093,51093,5116.631014723306
4,passed,-1.3052229869314687,4,0,passed,1555598.096842398,1.0911767442232045,-0.4634993755988006,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,1.3052229869314687,0,t2f_mc100_20260921_01_s51094,51094,5081.132743690613
4,passed,-0.8455658256224723,4,0,passed,1508662.836297447,1.0728094537994877,-0.32276775418695536,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.8455658256224723,0,t2f_mc100_20260921_01_s51095,51095,4980.14916840841
4,failed,-2.0505516896387377,4,0,passed,1627325.893673985,1.1126771050840452,-0.6036342577037743,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,2.0505516896387377,0,t2f_mc100_20260921_01_s51096,51096,5183.845385036947
4,passed,-1.40175678223018,4,0,passed,1558176.516663286,1.0939777037503173,-0.4930953026164673,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,1.40175678223018,0,t2f_mc100_20260921_01_s51097,51097,5036.702614467321
4,passed,-0.03603052958744968,4,0,passed,1449048.029783733,1.056482383659619,-0.030166847430109556,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.03603052958744968,0,t2f_mc100_20260921_01_s51098,51098,4911.176918001228
4,passed,-0.43736818659326104,4,0,passed,1461631.043216319,1.0633554474229625,-0.13217554299697554,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.43736818659326104,0,t2f_mc100_20260921_01_s51099,51099,4871.405284258572
4,passed,-1.8346197147307493,4,0,passed,1599681.663348993,1.100346945858878,-0.5045333825554792,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,1.8346197147307493,0,t2f_mc100_20260921_01_s51100,51100,5088.587916331546
