bit_index,time_ps,v_amp_diff_mV,bit_decision
865,173180.0,38.9213,1
866,173380.0,66.2205,1
867,173580.0,-42.8127,0
868,173780.0,13.2651,1
869,173980.0,-5.2796,0
870,174180.0,-23.4240,0
871,174380.0,-31.1336,0
872,174580.0,61.5269,1
873,174780.0,72.2792,1
874,174980.0,61.3703,1
875,175180.0,82.1606,1
876,175380.0,-160.6771,0
877,175580.0,18.0875,1
878,175780.0,-54.8002,0
879,175980.0,155.9295,1
880,176180.0,-116.6737,0
881,176380.0,19.4733,1
882,176580.0,-33.1411,0
883,176780.0,66.2630,1
884,176980.0,45.7007,1
885,177180.0,23.1267,1
886,177380.0,95.0246,1
887,177580.0,-26.4243,0
888,177780.0,-108.7798,0
889,177980.0,55.0032,1
890,178180.0,-58.9043,0
891,178380.0,-72.6227,0
892,178580.0,95.6840,1
893,178780.0,171.3514,1
894,178980.0,13.3730,1
895,179180.0,-19.5266,0
896,179380.0,48.3817,1
897,179580.0,-60.8454,0
898,179780.0,-134.1478,0
899,179980.0,-4.6606,0
900,180180.0,19.3320,1
901,180380.0,2.0200,1
902,180580.0,151.5517,1
903,180780.0,-38.7518,0
904,180980.0,-83.8975,0
905,181180.0,-113.8737,0
906,181380.0,-52.3681,0
907,181580.0,-13.0217,0
908,181780.0,-9.9293,0
909,181980.0,-109.3115,0
910,182180.0,-60.9423,0
911,182380.0,42.5804,1
912,182580.0,106.3808,1
913,182780.0,70.0402,1
914,182980.0,-83.4020,0
915,183180.0,-10.1524,0
916,183380.0,3.3212,1
917,183580.0,57.2045,1
918,183780.0,56.1602,1
919,183980.0,-0.3592,0
920,184180.0,127.5260,1
921,184380.0,18.5479,1
922,184580.0,-67.8821,0
923,184780.0,52.7173,1
924,184980.0,-0.3140,0
925,185180.0,-1.4809,0
926,185380.0,-25.7220,0
927,185580.0,-195.7271,0
928,185780.0,44.4321,1
929,185980.0,73.0137,1
930,186180.0,30.0972,1
931,186380.0,-2.0632,0
932,186580.0,-5.0361,0
933,186780.0,114.5022,1
934,186980.0,2.2067,1
935,187180.0,-90.2819,0
936,187380.0,-19.5428,0
937,187580.0,-30.8581,0
938,187780.0,-11.0246,0
939,187980.0,-80.4199,0
940,188180.0,158.4581,1
941,188380.0,43.5087,1
942,188580.0,17.8389,1
943,188780.0,-6.5988,0
