 frequency              onoise_spectrum        inoise_spectrum       
 1.496235656094434e+03  5.574179246874449e-06  2.788919924186575e-07 
 1.584893192461114e+03  5.414852697930445e-06  2.709204349170344e-07 
 1.678804018122562e+03  5.260217805150408e-06  2.631836143672439e-07 
 1.778279410038924e+03  5.110138973959462e-06  2.556747465972778e-07 
 1.883649089489802e+03  4.964484646954888e-06  2.483872494280386e-07 
 1.995262314968881e+03  4.823127184753775e-06  2.413147367107943e-07 
 2.113489039836648e+03  4.685942750372751e-06  2.344510125420430e-07 
 2.238721138568341e+03  4.552811196998362e-06  2.277900656497049e-07 
 2.371373705661657e+03  4.423615959135043e-06  2.213260639463873e-07 
 2.511886431509582e+03  4.298243946949372e-06  2.150533492428790e-07 
 2.660725059798812e+03  4.176585443728190e-06  2.089664321180804e-07 
 2.818382931264456e+03  4.058534006343086e-06  2.030599869398317e-07 
 2.985382618917962e+03  3.943986368668711e-06  1.973288470311620e-07 
 3.162277660168382e+03  3.832842347755145e-06  1.917679999784400e-07 
 3.349654391578280e+03  3.725004752817442e-06  1.863725830756001e-07 
 3.548133892335758e+03  3.620379296801278e-06  1.811378789004558e-07 
 3.758374042884445e+03  3.518874510499917e-06  1.760593110189365e-07 
 3.981071705534976e+03  3.420401659152816e-06  1.711324398120875e-07 
 4.216965034285826e+03  3.324874661454396e-06  1.663529584225205e-07 
 4.466835921509634e+03  3.232210010766610e-06  1.617166888155139e-07 
 4.731512589614808e+03  3.142326698660629e-06  1.572195779512563e-07 
 5.011872336272727e+03  3.055146140493646e-06  1.528576940637791e-07 
 5.308844442309888e+03  2.970592103124917e-06  1.486272230431075e-07 
 5.623413251903496e+03  2.888590634571869e-06  1.445244649168913e-07 
 5.956621435290110e+03  2.809069995574222e-06  1.405458304273977e-07 
 6.309573444801938e+03  2.731960593035591e-06  1.366878377007882e-07 
 6.683439175686151e+03  2.657194915201585e-06  1.329471090048587e-07 
 7.079457843841385e+03  2.584707468528508e-06  1.293203675919277e-07 
 7.498942093324564e+03  2.514434716229002e-06  1.258044346234116e-07 
 7.943282347242821e+03  2.446315018367236e-06  1.223962261731374e-07 
 8.413951416451957e+03  2.380288573358070e-06  1.190927503054739e-07 
 8.912509381337462e+03  2.316297361145281e-06  1.158911042266734e-07 
 9.440608762859241e+03  2.254285087522887e-06  1.127884715045470e-07 
 1.000000000000001e+04  2.194197129901522e-06  1.097821193551422e-07 
 1.059253725177290e+04  2.135980484318446e-06  1.068693959928766e-07 
 1.122018454301964e+04  2.079583713676718e-06  1.040477280417056e-07 
 1.188502227437019e+04  2.024956897124282e-06  1.013146180049370e-07 
 1.258925411794168e+04  1.972051580587375e-06  9.866764179093967e-08 
 1.333521432163325e+04  1.920820728344464e-06  9.610444629297833e-08 
 1.412537544622756e+04  1.871218675663860e-06  9.362274702082270e-08 
