 frequency              onoise_spectrum        inoise_spectrum       
 4.415704473533165e+00  1.112731417833624e-04  5.567310530267285e-06 
 4.466835921509672e+00  1.106081283453869e-04  5.534038023922378e-06 
 4.518559443749265e+00  1.099471228672859e-04  5.500966047164909e-06 
 4.570881896148792e+00  1.092901009710574e-04  5.468093380294368e-06 
 4.623810213992646e+00  1.086370384284570e-04  5.435418811103038e-06 
 4.677351412872025e+00  1.079879111600682e-04  5.402941134829513e-06 
 4.731512589614849e+00  1.073426952343801e-04  5.370659154112488e-06 
 4.786300923226428e+00  1.067013668668681e-04  5.338571678944813e-06 
 4.841723675841039e+00  1.060639024190831e-04  5.306677526627913e-06 
 4.897788193684509e+00  1.054302783977445e-04  5.274975521726406e-06 
 4.954501908047950e+00  1.048004714538399e-04  5.243464496023051e-06 
 5.011872336272772e+00  1.041744583817304e-04  5.212143288473976e-06 
 5.069907082747093e+00  1.035522161182605e-04  5.181010745164189e-06 
 5.128613839913699e+00  1.029337217418750e-04  5.150065719263337e-06 
 5.188000389289662e+00  1.023189524717405e-04  5.119307070981780e-06 
 5.248074602497778e+00  1.017078856668726e-04  5.088733667526939e-06 
 5.308844442309936e+00  1.011004988252690e-04  5.058344383059869e-06 
 5.370317963702581e+00  1.004967695830469e-04  5.028138098652173e-06 
 5.432503314924387e+00  9.989667571358752e-05  4.998113702243129e-06 
 5.495408738576301e+00  9.930019512668422e-05  4.968270088597130e-06 
 5.559042572704092e+00  9.870730586769744e-05  4.938606159261345e-06 
 5.623413251903548e+00  9.811798611671350e-05  4.909120822523681e-06 
 5.688529308438473e+00  9.753221418771020e-05  4.879812993371010e-06 
 5.754399373371629e+00  9.694996852772632e-05  4.850681593447620e-06 
 5.821032177708775e+00  9.637122771603711e-05  4.821725551013964e-06 
 5.888436553555951e+00  9.579597046333469e-05  4.792943800905656e-06 
 5.956621435290167e+00  9.522417561091349e-05  4.764335284492709e-06 
 6.025595860743641e+00  9.465582212986108e-05  4.735898949639060e-06 
 6.095368972401756e+00  9.409088912025363e-05  4.707633750662306e-06 
 6.165950018614887e+00  9.352935581038890e-05  4.679538648293736e-06 
 6.237348354824259e+00  9.297120155586378e-05  4.651612609638591e-06 
 6.309573444802000e+00  9.241640583897724e-05  4.623854608136540e-06 
 6.382634861905555e+00  9.186494826781797e-05  4.596263623522496e-06 
 6.456542290346625e+00  9.131680857551674e-05  4.568838641787573e-06 
 6.531305526474794e+00  9.077196661947206e-05  4.541578655140347e-06 
 6.606934480076032e+00  9.023040238058032e-05  4.514482661968349e-06 
 6.683439175686219e+00  8.969209596247102e-05  4.487549666799799e-06 
 6.760829753919892e+00  8.915702759074656e-05  4.460778680265565e-06 
 6.839116472814369e+00  8.862517761222712e-05  4.434168719061376e-06 
 6.918309709189442e+00  8.809652649419987e-05  4.407718805910275e-06 
 6.998419960022813e+00  8.757105482367305e-05  4.381427969525278e-06 
 7.079457843841459e+00  8.704874330663468e-05  4.355295244572314e-06 
 7.161434102129101e+00  8.652957276731610e-05  4.329319671633342e-06 
 7.244359600749983e+00  8.601352414745992e-05  4.303500297169755e-06 
 7.328245331389125e+00  8.550057850559253e-05  4.277836173485964e-06 
 7.413102413009261e+00  8.499071701630108e-05  4.252326358693230e-06 
 7.498942093324645e+00  8.448392096951538e-05  4.226969916673739e-06 
 7.585775750291926e+00  8.398017176979411e-05  4.201765917044872e-06 
 7.673614893618280e+00  8.347945093561494e-05  4.176713435123709e-06 
 7.762471166287009e+00  8.298174009867004e-05  4.151811551891775e-06 
 7.852356346100811e+00  8.248702100316524e-05  4.127059353959964e-06 
 7.943282347242909e+00  8.199527550512414e-05  4.102455933533733e-06 
 8.035261221856269e+00  8.150648557169577e-05  4.078000388378461e-06 
 8.128305161641091e+00  8.102063328046789e-05  4.053691821785082e-06 
 8.222426499470812e+00  8.053770081878285e-05  4.029529342535875e-06 
 8.317637711026812e+00  8.005767048305942e-05  4.005512064870513e-06 
 8.413951416452054e+00  7.958052467811764e-05  3.981639108452290e-06 
 8.511380382023869e+00  7.910624591650850e-05  3.957909598334598e-06 
 8.609937521846113e+00  7.863481681784770e-05  3.934322664927568e-06 
 8.709635899560915e+00  7.816622010815360e-05  3.910877443964952e-06 
 8.810488730080252e+00  7.770043861918892e-05  3.887573076471205e-06 
 8.912509381337568e+00  7.723745528780723e-05  3.864408708728773e-06 
 9.015711376059683e+00  7.677725315530297e-05  3.841383492245567e-06 
 9.120108393559214e+00  7.631981536676574e-05  3.818496583722670e-06 
 9.225714271547750e+00  7.586512517043860e-05  3.795747145022218e-06 
 9.332543007970031e+00  7.541316591708055e-05  3.773134343135522e-06 
 9.440608762859357e+00  7.496392105933253e-05  3.750657350151324e-06 
 9.549925860214485e+00  7.451737415108794e-05  3.728315343224317e-06 
