 time                   v(vdd)                 v(vdda)                i(vcored)              i(vcorea)              i(vpadd)               i(vpada)              
 7.627999999999999e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594521700350e-09  1.088322885193124e-09  4.953110098937161e-09  9.501176170220274e-09 
 7.727999999999999e-08  1.079999996069148e+00  2.999999994705252e+00  2.908594832649533e-09  1.088322785959403e-09  4.953110232077187e-09  9.501174493097156e-09 
 7.827999999999998e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594490800588e-09  1.088322822701998e-09  4.953110129836923e-09  9.501176232711400e-09 
 7.927999999999998e-08  1.079999996069148e+00  2.999999994705251e+00  2.908595178293186e-09  1.088322858244348e-09  4.953109886433535e-09  9.501176197169051e-09 
 8.027999999999998e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594535578138e-09  1.088322918040215e-09  4.953110085059373e-09  9.501176137373183e-09 
 8.127999999999997e-08  1.079999996069148e+00  2.999999994705252e+00  2.908594854550417e-09  1.088322827324681e-09  4.953110210176304e-09  9.501174451731878e-09 
 8.227999999999997e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594930336149e-09  1.088322817198402e-09  4.953110134390572e-09  9.501176238214997e-09 
 8.327999999999996e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594657334042e-09  1.088322856554941e-09  4.953109963303469e-09  9.501176198858458e-09 
 8.427999999999996e-08  1.079999996069148e+00  2.999999994705252e+00  2.908595009374487e-09  1.088322821130752e-09  4.953110055352233e-09  9.501174457925807e-09 
 8.527999999999995e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594579488326e-09  1.088322919772821e-09  4.953110041149185e-09  9.501176135640577e-09 
 8.627999999999995e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594862573513e-09  1.088322802295704e-09  4.953110202153208e-09  9.501176253117694e-09 
 8.727999999999995e-08  1.079999996069148e+00  2.999999994705252e+00  2.908594944213937e-09  1.088322825832209e-09  4.953110120512784e-09  9.501174453224350e-09 
 8.827999999999994e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594532542372e-09  1.088322853075753e-09  4.953110088095139e-09  9.501176202337646e-09 
 8.927999999999994e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594933480335e-09  1.088322875975712e-09  4.953110131246385e-09  9.501176179437686e-09 
 9.027999999999993e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594913314175e-09  1.088322828342391e-09  4.953110151412546e-09  9.501176227071008e-09 
 9.127999999999993e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594970993730e-09  1.088322739832530e-09  4.953110093732990e-09  9.501176315580868e-09 
 9.227999999999992e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594581114629e-09  1.088322752036157e-09  4.953110039522882e-09  9.501176303377241e-09 
 9.327999999999992e-08  1.079999996069148e+00  2.999999994705252e+00  2.908594889136466e-09  1.088322747547306e-09  4.953110175590254e-09  9.501174531509253e-09 
 9.427999999999992e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594871138710e-09  1.088322859029547e-09  4.953110193588010e-09  9.501176196383851e-09 
 9.527999999999991e-08  1.079999996069148e+00  2.999999994705251e+00  2.908595333117256e-09  1.088322744963008e-09  4.953109731609465e-09  9.501176310450390e-09 
 9.627999999999991e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594699943187e-09  1.088322776657711e-09  4.953109920694324e-09  9.501176278755688e-09 
 9.727999999999990e-08  1.079999996069148e+00  2.999999994705252e+00  2.908594751334370e-09  1.088322773873937e-09  4.953110313392350e-09  9.501174505182622e-09 
 9.827999999999990e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594990075689e-09  1.088322821633466e-09  4.953110074651032e-09  9.501176233779932e-09 
 9.927999999999989e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594748190184e-09  1.088322732904224e-09  4.953110316536537e-09  9.501176322509174e-09 
 1.002799999999999e-07  1.079999996069148e+00  2.999999994705252e+00  2.908595049273127e-09  1.088322752602399e-09  4.953110015453593e-09  9.501174526454160e-09 
 1.012799999999999e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594813025474e-09  1.088322749683523e-09  4.953110251701247e-09  9.501176305729875e-09 
 1.022799999999999e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594903231095e-09  1.088322686470725e-09  4.953110161495626e-09  9.501176368942674e-09 
 1.032799999999999e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594608111263e-09  1.088322705177871e-09  4.953110012526248e-09  9.501176350235527e-09 
 1.042799999999999e-07  1.079999996069148e+00  2.999999994705251e+00  2.908595233695917e-09  1.088322763230544e-09  4.953109831030804e-09  9.501176292182854e-09 
 1.052799999999999e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594767597403e-09  1.088322734085411e-09  4.953110297129318e-09  9.501176321327987e-09 
 1.062799999999999e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594658743505e-09  1.088322775797549e-09  4.953109961894006e-09  9.501176279615850e-09 
 1.072799999999999e-07  1.079999996069148e+00  2.999999994705252e+00  2.908594468899704e-09  1.088322857652272e-09  4.953110151737806e-09  9.501174421404287e-09 
 1.082799999999999e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594793943516e-09  1.088322756250993e-09  4.953110270783205e-09  9.501176299162405e-09 
 1.092799999999999e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594636734201e-09  1.088322774277125e-09  4.953109983903310e-09  9.501176281136274e-09 
 1.102799999999998e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594609412306e-09  1.088322735928979e-09  4.953110011225205e-09  9.501176319484420e-09 
 1.112799999999998e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594855200938e-09  1.088322771343426e-09  4.953110209525782e-09  9.501176284069972e-09 
 1.122799999999998e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594898894286e-09  1.088322823165325e-09  4.953110165832435e-09  9.501176232248073e-09 
 1.132799999999998e-07  1.079999996069148e+00  2.999999994705252e+00  2.908594867669263e-09  1.088322732265561e-09  4.953110197057457e-09  9.501174546790998e-09 
 1.142799999999998e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594506413099e-09  1.088322756214994e-09  4.953110114224411e-09  9.501176299198404e-09 
 1.152799999999998e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594850647289e-09  1.088322731491373e-09  4.953110214079431e-09  9.501176323922025e-09 
 1.162799999999998e-07  1.079999996069148e+00  2.999999994705251e+00  2.908595297013324e-09  1.088322733486136e-09  4.953109767713397e-09  9.501176321927263e-09 
 1.172799999999998e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594610604928e-09  1.088322748520123e-09  4.953110010032583e-09  9.501176306893275e-09 
