time="2026-09-23T10:18:17+02:00" level=warning msg="Network file system detected as backing store.  Enforcing overlay option `force_mask=\"700\"`.  Add it to storage.conf to silence this warning"
time="2026-09-23T10:18:18+02:00" level=warning msg="Network file system detected as backing store.  Enforcing overlay option `force_mask=\"700\"`.  Add it to storage.conf to silence this warning"
Resource enforcement: CPU affinity; memory reservation only (rootless cgroups v1).
time="2026-09-23T10:18:19+02:00" level=warning msg="Network file system detected as backing store.  Enforcing overlay option `force_mask=\"700\"`.  Add it to storage.conf to silence this warning"
EXACT_DEF_PINS_PASSED 46
# TMR copy separation: 199 stages (128 chain stages, 71 control-register bits), 597 flops, all placed
# min distance between two copies of one stage: min 27.4 um, median 42.6 um, max 44.5 um
# stages with a copy pair closer than  5 um: 0
# stages with a copy pair closer than 10 um: 0
# stages with a copy pair closer than 20 um: 0
# stages with a copy pair closer than 40 um: 18
# stage  min_pair_um  a(x,y)  b(x,y)  c(x,y)
u_cnt_unc.3       42.6   (252.0,94.5)  (291.8,109.6)  (331.7,124.7)
u_cnt_unc.4       42.6   (249.1,79.4)  (289.0,94.5)  (328.8,109.6)
u_cnt_unc.5       42.6   (236.2,79.4)  (276.0,94.5)  (315.8,109.6)
u_cnt_unc.6       41.4   (237.1,109.6)  (277.4,124.7)  (317.3,136.1)
u_cnt_unc.7       42.6   (224.2,109.6)  (264.0,124.7)  (304.3,139.9)
u_en_d.0       42.6   (63.4,253.3)  (103.2,268.4)  (143.0,283.5)
u_fill.0       42.6   (47.5,272.2)  (87.4,287.3)  (127.2,306.2)
u_fill.1       42.6   (31.2,268.4)  (71.5,283.5)  (111.4,298.6)
u_fill.2       42.6   (45.6,287.3)  (85.4,302.4)  (125.3,321.3)
u_fill.3       42.6   (31.7,291.1)  (71.5,306.2)  (111.4,321.3)
u_fill.4       40.5   (10.1,310.0)  (50.4,313.7)  (90.2,332.6)
u_fill.5       40.8   (23.0,302.4)  (61.0,317.5)  (100.8,336.4)
u_fill.6       31.3   (23.0,279.7)  (50.4,294.8)  (90.2,310.0)
u_fill.7       42.6   (14.9,260.8)  (55.2,275.9)  (95.0,291.1)
u_fill.8       40.5   (10.1,279.7)  (50.4,283.5)  (90.2,298.6)
u_fill.9       40.3   (10.1,291.1)  (50.4,291.1)  (90.2,306.2)
u_fill.10      28.3   (24.5,294.8)  (50.4,306.2)  (90.2,321.3)
u_pat_d.0       43.1   (62.9,268.4)  (103.2,283.5)  (143.0,306.2)
u_pat_d.1       42.6   (50.4,253.3)  (90.2,268.4)  (130.1,283.5)
u_phase.0       41.5   (43.2,257.0)  (83.5,272.2)  (120.5,291.1)
u_run_cur.0       41.9   (10.1,238.1)  (50.4,249.5)  (90.2,264.6)
u_run_cur.1       42.6   (10.1,253.3)  (49.9,268.4)  (90.2,283.5)
u_run_cur.2       42.6   (10.1,245.7)  (50.4,260.8)  (90.2,275.9)
u_run_cur.3       41.9   (10.1,234.4)  (50.4,245.7)  (90.2,260.8)
u_run_cur.4       40.3   (10.1,226.8)  (50.4,226.8)  (90.2,241.9)
u_run_cur.5       41.9   (10.1,211.7)  (50.4,223.0)  (90.2,238.1)
u_run_cur.6       41.3   (10.1,196.6)  (50.4,211.7)  (88.8,226.8)
u_run_cur.7       41.5   (10.1,189.0)  (50.4,204.1)  (87.4,223.0)
u_run_max.0       42.6   (29.8,230.6)  (69.6,245.7)  (109.4,260.8)
u_run_max.1       43.1   (42.7,241.9)  (83.0,257.0)  (122.9,275.9)
u_run_max.2       42.6   (28.8,245.7)  (68.6,260.8)  (109.0,275.9)
u_run_max.3       42.6   (13.0,249.5)  (52.8,264.6)  (92.6,279.7)
u_run_max.4       42.6   (28.8,215.5)  (69.1,230.6)  (109.0,245.7)
u_run_max.5       41.0   (10.1,223.0)  (50.4,230.6)  (90.2,245.7)
u_run_max.6       41.9   (21.6,200.3)  (61.4,215.5)  (101.8,226.8)
u_run_max.7       41.4   (15.8,192.8)  (56.2,207.9)  (96.0,219.2)

EXACT_199_STAGE_TMR_GEOMETRY_PASSED
