equation	nterms	b_hex	x_hex	fsum_ax_hex	naive_ax_hex	residual_hex	residual_dec	scale_hex	scale_dec	norm_residual	|fsum-decimal|
72	13	0x1.f041d34aad8abp-1	-0x1.f67bba6fef593p+7	0x1.f041d34aad83ep-1	0x1.f041d34aad83ep-1	-0x1.b400000000000p-47	-1.21014309684142063e-14	0x1.0db53003759f3p+6	6.74269409695187250e+01	1.794747e-16	2.553513e-15
73	4	0x1.6dcee273b0811p-39	-0x1.c08932ae8838cp-8	0x1.6dcee62630614p-39	0x1.6dcee62630614p-39	0x1.d93ff01800000p-62	4.00858136704634848e-19	0x1.18ee0ac7890d5p-7	8.57329870547866336e-03	4.675658e-17	3.941810e-19
74	13	0x1.492a386321b93p-5	0x1.84690b9dccd84p+8	0x1.492a386321aebp-5	0x1.492a386321aebp-5	-0x1.5000000000000p-50	-1.16573417585641437e-15	0x1.e37879686ef60p+3	1.51084563293185852e+01	7.715773e-17	1.318390e-16
75	4	0x1.35f53f9d3a7fap-30	-0x1.e6791422a14e6p-8	0x1.35f53f9d40825p-30	0x1.35f53f9d40825p-30	0x1.80ac000000000p-68	5.09108987511074708e-21	0x1.c55616c9ede5dp-8	6.91736275069096147e-03	7.359871e-19	3.257137e-19
76	13	0x1.cd3f1c6859b0ep-7	-0x1.80057e23dee47p+6	0x1.cd3f1c6859b0bp-7	0x1.cd3f1c6859b0bp-7	-0x1.8000000000000p-58	-5.20417042793042128e-18	0x1.3134b6c182765p-4	7.45131625082229992e-02	6.984230e-17	1.734723e-18
77	4	0x1.35f53f9d3a7fap-30	-0x1.e6791422a0b3ep-8	0x1.35f53f9b44919p-30	0x1.35f53f9b44919p-30	-0x1.f5ee100000000p-62	-4.25151189312708090e-19	0x1.c55616c9ed55dp-8	6.91736275068896306e-03	6.146146e-17	2.426321e-19
78	13	0x1.cd3f1c6843356p-7	-0x1.80057e23d45c1p+6	0x1.cd3f1c6843353p-7	0x1.cd3f1c6843353p-7	-0x1.8000000000000p-58	-5.20417042793042128e-18	0x1.3134b6c17555ap-4	7.45131625074767767e-02	6.984230e-17	1.734723e-18
79	40	-0x1.1fc05d335b718p-9	0x1.6efda02ec20fep+0	-0x1.1fc05d335b715p-9	-0x1.1fc05d335b715p-9	0x1.8000000000000p-60	1.30104260698260532e-18	0x1.a13d86d2d0896p+0	1.62984507223931052e+00	7.982615e-19	6.505213e-17
80	6	-0x1.9648609a23ef4p-12	0x1.5ff9c41bba99ep-2	-0x1.9648609a23dacp-12	-0x1.9648609a23dacp-12	0x1.4800000000000p-56	1.77809156287622727e-17	0x1.faa795ba76dc7p-4	1.23694977642507017e-01	1.437481e-16	3.469447e-18
81	4	0x1.c91992719112ap-36	-0x1.9a09a90ef3e3ap-8	0x1.c9199242f83aap-36	0x1.c9199242f83aap-36	-0x1.74c6c00000000p-63	-1.57876932482789692e-19	0x1.0a7718ec91269p-7	8.13187329289029488e-03	1.941458e-17	3.371714e-19
82	13	0x1.7af0c54c6e35bp-4	0x1.896519cece604p+4	0x1.7af0c54c6e35bp-4	0x1.7af0c54c6e35bp-4	0x0.0p+0	0.00000000000000000e+00	0x1.270a4b0be6f11p-2	2.88125202752540110e-01	0.000000e+00	1.387779e-17
83	8	0x0.0p+0	0x0.0p+0	0x0.0p+0	0x0.0p+0	0x0.0p+0	0.00000000000000000e+00	0x0.0p+0	0.00000000000000000e+00	0.000000e+00	0.000000e+00
