 time                   v(q)                   v(qb)                  v(inp)                 v(inn)                 v(clk)                
 2.492010659432881e-05  1.200014825165454e+00  9.327559195554391e-06  5.019893937793842e-01  4.970904143143016e-01  6.395659728748272e-01 
 2.492014970998800e-05  1.199998238521849e+00 -6.649602698628211e-06  4.971244202920826e-01  4.922618948947105e-01  8.982599279872733e-01 
 2.492019152368855e-05  1.199984078172539e+00 -2.530195391181741e-06  4.929032288868181e-01  4.880415741259252e-01  1.149142131264317e+00 
 2.492020000000000e-05  1.199998165931227e+00  5.545517367753702e-06  4.922109524103723e-01  4.873484724248029e-01  1.200000000000000e+00 
 2.492020433919302e-05  1.199957007404009e+00 -2.332594390753225e-05  4.917518135876555e-01  4.868895816937908e-01  1.200000000000000e+00 
 2.492021301757906e-05  1.199925834435417e+00 -2.964899163457411e-05  4.909414727540424e-01  4.860791873329154e-01  1.200000000000000e+00 
 2.492023037435115e-05  1.199919768801632e+00 -1.685476545929118e-05  4.896661891305484e-01  4.848034112590368e-01  1.200000000000000e+00 
 2.492026508789531e-05  1.199909039951889e+00 -1.820765877677880e-05  4.878430657019201e-01  4.829795620318020e-01  1.200000000000000e+00 
 2.492033451498364e-05  1.199953640937611e+00 -2.633133966119055e-06  4.853944452938836e-01  4.805318241168582e-01  1.200000000000000e+00 
 2.492042054426806e-05  1.200264371939577e+00  1.495319818387040e-04  4.839484698203292e-01  4.788324793902125e-01  1.200000000000000e+00 
 2.492043500334778e-05  1.200304615546187e+00  2.464583955613760e-04  4.841124598475329e-01  4.789057694513367e-01  1.200000000000000e+00 
 2.492046392150722e-05  1.200405061276531e+00  7.069621362631041e-04  4.846676926706497e-01  4.792190419952199e-01  1.200000000000000e+00 
 2.492052175782610e-05  1.200786384765323e+00  2.695503776368232e-03  4.864868467827843e-01  4.805039414740117e-01  1.200000000000000e+00 
 2.492058820400697e-05  1.203502104342083e+00  3.940382383018750e-03  4.868400689928871e-01  4.812799321972642e-01  1.200000000000000e+00 
 2.492065803335116e-05  1.201195184358044e+00 -2.196087388927142e-04  4.865596786171276e-01  4.817320407287972e-01  1.200000000000000e+00 
 2.492074471223588e-05  1.199506805902636e+00 -4.706274638193826e-05  4.875649624974724e-01  4.828387416700174e-01  1.200000000000000e+00 
 2.492085909394511e-05  1.200281848311556e+00  1.305068626926474e-04  4.890314127720820e-01  4.843291798547237e-01  1.200000000000000e+00 
 2.492099028836802e-05  1.199805837406883e+00 -1.569424978291688e-04  4.906696023010079e-01  4.858947240061352e-01  1.200000000000000e+00 
 2.492125267721385e-05  1.200159091008564e+00  1.655161659932905e-04  4.931944689520456e-01  4.884393589766524e-01  1.200000000000000e+00 
 2.492172175918599e-05  1.199848806649978e+00 -1.648197314530965e-04  4.966110142862234e-01  4.917616681876016e-01  1.200000000000000e+00 
 2.492243087091184e-05  1.200138216187055e+00  1.680368394116648e-04  4.994814087239296e-01  4.946444566935847e-01  1.200000000000000e+00 
 2.492343087091184e-05  1.199861830331908e+00 -1.659666563976907e-04  5.014340575172536e-01  4.965234817606353e-01  1.200000000000000e+00 
 2.492443087091184e-05  1.200128681161813e+00  1.683999344019923e-04  5.020354960420113e-01  4.971647822520894e-01  1.200000000000000e+00 
 2.492543087091183e-05  1.199871164110691e+00 -1.662581687863684e-04  5.023505205441191e-01  4.974281932695997e-01  1.200000000000000e+00 
 2.492643087091183e-05  1.200120353657385e+00  1.682266329672170e-04  5.023650628768522e-01  4.974897981474137e-01  1.200000000000000e+00 
 2.492743087091183e-05  1.199879308623254e+00 -1.660192417537933e-04  5.024684804089012e-01  4.975447403962420e-01  1.200000000000000e+00 
 2.492843087091183e-05  1.200113063615177e+00  1.675995903365129e-04  5.024078669967201e-01  4.975318349776144e-01  1.200000000000000e+00 
 2.492943087091183e-05  1.199886437992419e+00 -1.653357146861032e-04  5.024833525999010e-01  4.975596217572305e-01  1.200000000000000e+00 
 2.493043087091183e-05  1.200106664088944e+00  1.665903279699076e-04  5.024137700582268e-01  4.975374180856597e-01  1.200000000000000e+00 
 2.493143087091183e-05  1.199892699712978e+00 -1.642806057194455e-04  5.024848536266983e-01  4.975613643438306e-01  1.200000000000000e+00 
 2.493243087091183e-05  1.200101029068045e+00  1.652608828316312e-04  5.024149780181161e-01  4.975383253920182e-01  1.200000000000000e+00 
